Name,Payload,SSIM_Score,MSE_Score,PSNR_Score,Name,Payload,SSIM_Score,MSE_Score,PSNR_Score,SSIM_Difference,MSE_Difference,PSNR_Difference
Stegano1,20 bytes payload,0.999999988,0.00000905990600585937,98.55956669,Stegano1,21 bytes payload,0.999999988,0.0000095367431640625,98.33680274,0.000000000,0.0000004768371582000010,0.22276395
Stegano2,20 bytes payload,0.99999999,0.00002106481481481480,94.89522715,Stegano2,21 bytes payload,0.999999991,0.0000224537037037037,94.61792373,0.000000001,0.0000013888888889000000,0.27730342
Stegano3,20 bytes payload,0.99999996,0.00002686328303612250,93.83921273,Stegano3,21 bytes payload,0.999999962,0.0000274348422496570,93.74777894,0.000000002,0.0000005715592135000010,0.09143379
Stegano4,20 bytes payload,0.999999987,0.00000834465026855468,98.91672221,Stegano4,21 bytes payload,0.999999987,0.0000088214874267578,98.67538541,0.000000000,0.0000004768371582000010,0.2413368
Stegano5,20 bytes payload,0.999999975,0.00002245370370370370,94.61792373,Stegano5,21 bytes payload,0.999999974,0.0000236111111111111,94.39963936,0.000000001,0.0000011574074074000000,0.21828437
Stegano6,20 bytes payload,0.99999998,0.00000750000000000000,99.38019097,Stegano6,21 bytes payload,0.999999979,0.0000077500000000000,99.23778658,0.000000001,0.0000002500000000000000,0.14240439
Stegano7,20 bytes payload,0.999999971,0.00003274281819661450,92.97964304,Stegano7,21 bytes payload,0.999999969,0.0000330607096354166,92.9376819,0.000000002,0.0000003178914387999980,0.04196114
Stegano8,20 bytes payload,0.999999996,0.00000842412312825520,98.87555655,Stegano8,21 bytes payload,0.999999996,0.0000089009602864583,98.63643498,0.000000000,0.0000004768371582000010,0.23912157
Stegano9,20 bytes payload,0.999999994,0.00000770886739095052,99.26089786,Stegano9,21 bytes payload,0.999999994,0.0000077883402506510,99.21635445,0.000000000,0.0000000794728597000013,0.04454341
Stegano10,20 bytes payload,0.999999967,0.00002631293402777770,93.92911084,Stegano10,21 bytes payload,0.999999963,0.0000279405381944444,93.66845594,0.000000004,0.0000016276041666999900,0.2606549
Stegano11,20 bytes payload,0.999999914,0.00003628508981626930,92.53352158,Stegano11,21 bytes payload,0.999999916,0.0000373522983402773,92.40763031,0.000000002,0.0000010672085240000000,0.12589127
Stegano12,20 bytes payload,0.999999991,0.00001655735596707810,95.94089375,Stegano12,21 bytes payload,0.999999992,0.0000167181069958847,95.8989326,0.000000001,0.0000001607510288000000,0.04196115
Stegano13,20 bytes payload,0.999999957,0.00003029263831732960,93.31743261,Stegano13,21 bytes payload,0.999999957,0.0000308641975308642,93.23625371,0.000000000,0.0000005715592134999980,0.0811789
Stegano14,20 bytes payload,0.999999979,0.00003833912037037030,92.29438216,Stegano14,21 bytes payload,0.999999982,0.0000405092592592592,92.05526059,0.000000003,0.0000021701388889000000,0.23912157
Stegano15,20 bytes payload,0.999999985,0.00000747409827389676,99.39521557,Stegano15,21 bytes payload,0.999999985,0.0000080306800602508,99.08328037,0.000000000,0.0000005565817864000000,0.3119352
Stegano16,20 bytes payload,0.99999995,0.00003994166190662880,92.1165423,Stegano16,21 bytes payload,0.999999949,0.0000403294450319358,92.07458115,0.000000001,0.0000003877831253000010,0.04196115
Stegano17,20 bytes payload,0.999999995,0.00000778834025065104,99.21635445,Stegano17,21 bytes payload,0.999999996,0.0000083446502685547,98.91672221,0.000000001,0.0000005563100178999990,0.29963224
Stegano18,20 bytes payload,0.999999995,0.00000931351273148148,98.43966848,Stegano18,21 bytes payload,0.999999996,0.0000094039351851852,98.39770734,0.000000001,0.0000000904224536999999,0.04196114
Stegano19,20 bytes payload,0.999999955,0.00004895833333333330,91.23253736,Stegano19,21 bytes payload,0.999999955,0.0000515625000000000,91.00746395,0.000000000,0.0000026041666666999900,0.22507341
Stegano20,20 bytes payload,0.999999875,0.00003544560185185180,92.63518006,Stegano20,21 bytes payload,0.999999859,0.0000372540509259259,92.41906857,0.000000016,0.0000018084490740999900,0.21611149
Stegano21,20 bytes payload,0.99999996,0.00002291666666666660,94.52928913,Stegano21,21 bytes payload,0.999999956,0.0000245370370370370,94.23258242,0.000000004,0.0000016203703704000000,0.29670671
Stegano22,20 bytes payload,0.999999923,0.00003242492675781250,93.02201357,Stegano22,21 bytes payload,0.999999925,0.0000333786010742187,92.8961223,0.000000002,0.0000009536743164000020,0.12589127
Stegano23,20 bytes payload,0.999999964,0.00001509098309321650,96.34362828,Stegano23,21 bytes payload,0.999999965,0.0000155348355371346,96.21773701,0.000000001,0.0000004438524438999990,0.12589127
Stegano24,20 bytes payload,0.999999959,0.00002795460970087710,93.66626928,Stegano24,21 bytes payload,0.999999958,0.0000293808652978606,93.45015779,0.000000001,0.0000014262555969999900,0.21611149
Stegano25,20 bytes payload,0.999999953,0.00002268518518518510,94.57338032,Stegano25,21 bytes payload,0.999999949,0.0000238425925925925,94.35726883,0.000000004,0.0000011574074074000000,0.21611149
Stegano26,20 bytes payload,0.999999934,0.00003233333333333330,93.03429881,Stegano26,21 bytes payload,0.999999937,0.0000346666666666666,92.73168276,0.000000003,0.0000023333333333000000,0.30261605
Stegano27,20 bytes payload,0.999999974,0.00001259662001193520,97.12826332,Stegano27,21 bytes payload,0.999999971,0.0000135151235544722,96.82260341,0.000000003,0.0000009185035424999990,0.30565991
